,code,label_n1,label_n2,description,commentaire
0,SAP,Demander une prise en charge secouriste ,,,
1,REGUL,Demander une régulation médicale,,,
2,CUMP,Demander un soutien médico psychologique,,,
3,SMUR,Demander une prise en charge de médecine d'urgence,,,
4,MG,Demander une prise en charge de médecine générale,,,
5,PARAMED,Demander une prise en charge para médicale,,,
6,SAMU,Autre demande de concours au SAMU,,,
7,RELEVE,Demander de relever une personne,,,
8,NOVI,Demander une prise en charge de nombreuses patients/victimes,,,
9,TIH,Demander un transfert interétablissement,,,
10,BRANCARD,Demander une aide au brancardage ,,,
11,BARIA,Demander un transport bariatrique,,,
