Donnée (Niveau 1),Donnée (Niveau 2),Donnée (Niveau 3),Donnée (Niveau 4),Donnée (Niveau 5),Donnée (Niveau 6),Description,Balise,Cardinalité,Objet,Format (ou type),Détails de format
Position,,,,,,Objet de détail de la position de chaque ressource,position,0..n,X,position,
,Identifiant de la ressource,,,,,Identifiant unique de la ressource  dans le système du partenaire propriétaire,id,1..1,,string,
,Date et heure des dernières remontées d'informations de la ressource,,,,,Date et heure de la dernière position connue,datetime,1..1,,datetime,
,Date et heure de la réception de la dernière localisation,,,,,Date et heure de la réception de la dernière position connue dans le système de l'organisme,receptionDatetime,0..1,,datetime,
,Coordonnées,,,,,Permet de localiser la resource. ,coord,0..n,X,coord,
,,Latitude ,,,,"Dernière coordonnée x connue de la ressource, entre −90 and +90",lat,1..1,,number,
,,Longitude,,,,"Dernière coordonnée y connue de la ressource, entre −180 and +180",lon,1..1,,number,
,,Altitude,,,,"Dernière coordonnée z connue de la ressource, en mètres sans bornes",height,0..1,,number,
,Vitesse de la ressource,,,,,"Vitesse de la ressource enregistrée, exprimée en km/h",speed,0..1,,number,
,Direction de la ressource,,,,,"Direction de la ressource, exprimé en degrés",cap,0..1,,string,
,Mouvement de la ressource,,,,,Indique si la ressource est en mouvement (MOBILE) ou non (STATIQUE),move,0..1,,string,"ENUM: MOBILE, STATIQUE"
,Etat du moteur de la ressource,,,,,Indique si le moteur de la ressource est éteint (FAUX) ou allumé/en marche (VRAI),engineOn,0..1,,boolean,
,Etat de l'hélicoptère,,,,,Indique si l'hélicoptère est au sol (VRAI) ou en l'air (FAUX),groundStatus,0..1,,boolean,
,Statut de la ressource,,,,,"Définit le statut de disponibilité d'une ressource.
- DISPONIBLE : Lorsque la ressource est disponible
- INDISPONIBLE : Lorsque la ressource n'est pas disponible, celle-ci peut être engagée ou en maintenance
- INCONNU : Lorsque le status est inconnu",status,0..1,,string,"ENUM: DISPONIBLE, INDISPONIBLE, INCONNU"
,Statut de la ressource engagée,,,,,Précise le statut d'une ressource qui est engagée sur une mission,engagedStatus,0..1,,string,"ENUM: ALERTEE, PARTIE, ARRIVEE_LIEU, TRANSPORT_DESTINATION, ARRIVEE_DESTINATION, FIN_MED, QUITTE_DESTINATION, RETOUR_DISPONIBLE, RETOUR_INDISPONIBLE, ARRIVEE_CENTRE"
