,ID,Donnée (Niveau 1),Donnée (Niveau 2),Donnée (Niveau 3),Donnée (Niveau 4),Donnée (Niveau 5),Donnée (Niveau 6),Description,Exemples,Balise NexSIS,Nouvelle balise,Nantes - balise,Nantes - description,GT399,GT399 description,Priorisation,Cardinalité,Objet,Format (ou type),Nomenclature/ énumération,Détails de format,15-18,15-15
0,1,Identifiant affaire,,,,,,"Identifiant technique de l'affaire et partagé entre tous les intervenants.
Il doit pouvoir être généré de façon unique et décentralisée et ne présenter aucune ambiguïté. Il est généré par les systèmes du partenaire récepteur de la primo-demande de secours et contient une clé conventionnelle permettant d'identifier la source.
Valorisation :
{cleConventionnelle}:{cleUnique}
où cleConventionnelle est la clé utilisée par le partenaire emetteur et cleUnique l'identifiant locale d'affaire dans le système du partenaire emetteur.
cleUnique est une chaîne de caractère (string) comprise entre 4 et 22 caractères alphanumériques.",samuA:CA126B445579GD4A67AV,eventId,caseId,NR,Numéro de requête émise,,,1.0,1..1,,string,,,X,X
1,2,Identifiant local de l'affaire,,,,,,"Valoriser avec l'identifiant de l'affaire dans le SI de l'émetteur du message
Ce champ est facultatif, il ne sera notamment pas transmis par NexSIS
Dans le cas où deux opérateurs ont besoin d'identifier une affaire, ils peuvent utiliser les derniers caractères de l'identifiant local de leur partenaire.",CA126B445579GD4A67AV,,senderCaseId,NO,Numéro de dossier de l'émetteur,,,,0..1,,string,,,X,X
2,3,Date Heure de création de l'affaire,,,,,,Groupe date heure de début de partage lié à la création de l'affaire (et donc de génération du caseId). Il doit être renseigné à la fin du processus de la  création  de la première alerte. Lors de l'ajout d'alerte à une affaire ce champ ne doit pas être modifié.  L'indicateur de fuseau horaire Z ne doit pas être utilisé.,2022-09-27T08:23:34+02:00,createdAt,creation,,,,,1.0,1..1,,datetime,,Format datetime décrit dans le DSF,X,X
3,4,Version des nomenclatures du référentiel CISU,,,,,,"Indique le numéro de version du référentiel des nomenclatures des codes transmis. 
Cela permet aux différents systèmes de s'assurer qu'ils utilisent la même version des codes de nomenclature que leurs partenaires.",1.2,cisuNomenclatureVersion,referenceVersion,,,,,,1..1,,string,,,X,X
4,5,Qualification de l'affaire,,,,,,Permet de qualifier l'affaire en générale. La qualification est issue d'une interprétation métier des alertes reçues.,,alertCode,qualification,,,,,,1..1,X,qualification,,,X,X
5,6,,Nature de fait,,,,,Décrit la nature de fait de l'alerte (NF) à partir de la nomenclature CISU,,whatsHappen,,CE/CK,raison de l'appel,,,1.0,1..1,X,nomenclature,,NOMENCLATURE : CISU Nature de fait,X,X
6,7,,,Code,,,,A valoriser avec un code la nomenclature associée,C07.13.02,code,,,,,,1.0,1..1,,string,X,Voir nomenclature associée,X,X
7,8,,,Libellé,,,,"A valoriser avec le libellé de la nomenclature associée.
Dans le cas où un système n'est pas en mesure de reconnaître un code, il peut directement afficher le libellé qui est obligatoirement fourni avec le code.",Rodéo automobile,label,,,,,,1.0,1..1,,string,,Voir nomenclature associée,X,X
8,9,,,Commentaire,,,,Permet de complémenter en commentaire libre l'attribut permettant de qualifier l'événement.,,freetext,,,,,,,0..1,,string,,Voir nomenclature associée,X,X
9,10,,Type de lieu,# Voir whatsHappen (type nomenclature),,,,Décrit le type de lieu (TL). Référentiel : nomenclature CISU,,locationKind,,CI,Type de lieu d'intervention,,,1.0,0..1,X,nomenclature,,Voir nomenclature CISU Type de Lieu,X,X
